sno,act,srcUpdateTime,total,latitude,longitude,available_return_bikes
500111014,1,2024-07-23 04:11:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:12:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:13:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:14:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:15:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:16:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:17:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:18:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:19:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:20:27,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:21:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:22:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:23:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:24:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:25:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:26:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:27:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:28:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:29:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:30:29,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:31:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:32:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:33:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:34:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:35:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:36:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:37:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:38:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:39:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:40:27,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:41:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:42:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:43:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:44:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:45:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:46:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:47:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:48:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:49:25,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:50:27,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:51:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:52:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:53:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:54:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:55:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:56:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:57:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:58:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 04:59:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:00:28,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:01:25,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:02:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:03:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:04:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:05:23,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:06:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:07:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:08:25,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:09:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:10:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:11:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:12:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:13:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:14:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:15:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:16:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:17:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:18:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:19:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:20:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:21:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 05:22:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:23:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:24:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:25:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:26:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:27:23,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:28:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:29:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:30:27,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:32:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:32:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:34:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:34:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:36:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:36:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:37:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:39:23,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:40:28,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:41:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:41:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:42:23,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:44:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:45:23,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:46:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:47:22,40,25.04697,121.61375,7
500111014,1,2024-07-23 05:47:22,40,25.04697,121.61375,7
